 ,Signup_Date,Cancel_Date,Plan_Type,Country,Industry,Monthly_Recurring_Revenue,Total_Contract_Value,Payment_Method,Currency,Churned,Customer Status,Is_Active,Active Months,Churn_Reason,NPS_Score,NPS_Scrore_Clean,Support_Tickets_Opened,Acquisition_Channel,Is_Referral_Customer,Region,Cohort_Month,Column1
CUST1012,2024-02-22,2024-05-13,Pro,Germany,Real Estate,79,158,PayPal,USD,Yes,Churned,0,2,Bugs,8,8,0,Paid,No,Europe,2024-02,
CUST1013,2023-10-03,,Enterprise,Nigeria,Fintech,199,1791,Card,GBP,No,Active,1,8,Not Provided,,No Score,0,Partnership,No,Other,2023-10,
CUST1014,2023-08-24,,Pro,United States,Marketing,79,790,PayPal,GBP,No,Active,1,10,Not Provided,,No Score,0,Partnership,No,Europe,2023-08,
CUST1015,2023-05-28,,Basic,United States,Real Estate,29,377,Wire,GBP,No,Active,1,13,Not Provided,,No Score,0,Organic,No,Europe,2023-05,
CUST1016,2023-07-10,,Enterprise,India,Real Estate,199,2189,Card,USD,No,Active,1,11,Not Provided,,No Score,1,Referral,No,Africa,2023-07,
CUST1017,2023-08-24,2023-12-03,Pro,Australia,E-commerce,79,237,Wire,USD,Yes,Churned,0,3,Other,5,5,1,Organic,No,Other,2023-08,
CUST1018,2024-04-14,2024-06-09,Pro,United States,EdTech,79,79,Wire,EUR,Yes,Churned,0,1,Bugs,10,10,0,Referral,No,North America,2024-04,
CUST1019,2023-08-06,2024-04-07,Basic,Canada,HealthTech,29,232,Card,GBP,Yes,Churned,0,8,Bugs,,No Score,0,Organic,No,Other,2023-08,
CUST1020,2024-03-04,,Pro,Germany,Marketing,79,237,PayPal,USD,No,Active,1,3,Not Provided,0,0,1,Paid,Yes,Asia,2024-03,
CUST1021,2023-05-16,,Basic,India,Marketing,29,377,PayPal,EUR,No,Active,1,13,Not Provided,0,0,0,Paid,No,Africa,2023-05,
CUST1022,2023-07-09,,Pro,Nigeria,E-commerce,79,869,Card,USD,No,Active,1,11,Not Provided,,No Score,2,Referral,Yes,North America,2023-07,
CUST1023,2023-10-31,2024-02-18,Basic,United Kingdom,E-commerce,29,87,Wire,USD,Yes,Churned,0,3,Switched to Competitor,,No Score,2,Organic,No,Africa,2023-10,
CUST1024,2023-12-04,,Pro,Nigeria,Marketing,79,474,Card,GBP,No,Active,1,6,Not Provided,0,0,0,Paid,No,Other,2023-12,
CUST1025,2023-09-15,,Basic,United Kingdom,HealthTech,29,261,Wire,USD,No,Active,1,9,Not Provided,0,0,0,Referral,No,Africa,2023-09,
CUST1026,2023-04-14,2023-10-12,Basic,India,Fintech,29,174,Card,GBP,Yes,Churned,0,5,Bugs,10,10,0,Paid,No,Other,2023-04,
CUST1027,2023-12-19,,Pro,United States,Fintech,79,474,PayPal,USD,No,Active,1,6,Not Provided,9,9,0,Referral,No,Africa,2023-12,
CUST1028,2023-04-28,2023-06-11,Basic,United States,EdTech,29,29,Wire,EUR,Yes,Churned,0,1,Other,,No Score,0,Paid,No,North America,2023-04,
CUST1029,2023-07-23,2024-03-25,Basic,Germany,Fintech,29,232,Card,GBP,Yes,Churned,0,8,Switched to Competitor,,No Score,2,Paid,Yes,Asia,2023-07,
CUST1030,2024-05-05,,Pro,India,E-commerce,79,79,PayPal,EUR,No,Active,1,1,Not Provided,7,7,0,Organic,No,Africa,2024-05,
CUST1031,2023-07-11,,Basic,Canada,HealthTech,29,319,PayPal,GBP,No,Active,1,11,Not Provided,,No Score,0,Organic,No,Other,2023-07,
CUST1032,2023-07-22,,Basic,Canada,E-commerce,29,319,Card,GBP,No,Active,1,11,Not Provided,3,3,0,Organic,No,Other,2023-07,
CUST1033,2023-05-24,,Basic,United States,HealthTech,29,377,PayPal,EUR,No,Active,1,13,Not Provided,,No Score,1,Paid,No,Asia,2023-05,
CUST1034,2023-06-29,,Basic,United Kingdom,Marketing,29,348,Wire,GBP,No,Active,1,12,Not Provided,,No Score,3,Partnership,No,Asia,2023-06,
CUST1035,2023-10-07,2024-04-15,Pro,Australia,EdTech,79,474,Wire,EUR,Yes,Churned,0,6,Not Provided,,No Score,0,Paid,No,Africa,2023-10,
CUST1036,2023-02-08,,Basic,United Kingdom,Marketing,29,464,Wire,USD,No,Active,1,16,Not Provided,,No Score,0,Paid,No,Africa,2023-02,
CUST1037,2023-04-25,,Pro,India,EdTech,79,1106,Card,USD,No,Active,1,14,Not Provided,,No Score,1,Organic,No,Other,2023-04,
CUST1038,2023-07-22,2023-09-15,Basic,United States,E-commerce,29,29,Card,EUR,Yes,Churned,0,1,Switched to Competitor,5,5,1,Paid,Yes,Europe,2023-07,
CUST1039,2023-09-25,2024-05-15,Basic,Australia,EdTech,29,203,PayPal,USD,Yes,Churned,0,7,Bugs,,No Score,0,Organic,No,North America,2023-09,
CUST1040,2023-11-06,2024-03-25,Pro,India,HealthTech,79,316,Wire,EUR,Yes,Churned,0,4,Pricing,3,3,1,Referral,Yes,Asia,2023-11,
CUST1041,2024-05-16,,Basic,India,Real Estate,29,29,Card,GBP,No,Active,1,1,Not Provided,6,6,1,Referral,No,Other,2024-05,
CUST1042,2023-01-17,2024-06-11,Basic,United States,E-commerce,29,493,Wire,GBP,Yes,Churned,0,16,Switched to Competitor,,No Score,0,Referral,No,Asia,2023-01,
CUST1043,2024-02-21,2024-05-28,Pro,Canada,EdTech,79,237,Card,USD,Yes,Churned,0,3,Switched to Competitor,,No Score,1,Paid,No,Europe,2024-02,
CUST1044,2023-12-03,2024-02-07,Basic,Australia,HealthTech,29,58,PayPal,GBP,Yes,Churned,0,2,Bugs,,No Score,0,Organic,No,Asia,2023-12,
CUST1045,2023-09-09,,Basic,Nigeria,E-commerce,29,261,Card,GBP,No,Active,1,9,Not Provided,,No Score,1,Paid,No,Africa,2023-09,
CUST1046,2024-01-26,2024-03-08,Basic,Nigeria,HealthTech,29,29,Card,GBP,Yes,Churned,0,1,Bugs,,No Score,1,Referral,No,Other,2024-01,
CUST1047,2024-02-08,,Enterprise,Germany,EdTech,199,796,Card,EUR,No,Active,1,4,Not Provided,,No Score,2,Referral,Yes,Other,2024-02,
CUST1048,2023-02-01,2024-02-13,Pro,United States,Real Estate,79,948,PayPal,EUR,Yes,Churned,0,12,Other,,No Score,0,Organic,No,Africa,2023-02,
CUST1049,2023-04-29,,Basic,United States,EdTech,29,406,Wire,EUR,No,Active,1,14,Not Provided,,No Score,0,Referral,No,Africa,2023-04,
CUST1050,2023-08-11,,Basic,Nigeria,Marketing,29,290,Card,EUR,No,Active,1,10,Not Provided,2,2,0,Referral,Yes,Africa,2023-08,
CUST1051,2023-04-27,2024-01-14,Pro,Canada,Real Estate,79,632,PayPal,GBP,Yes,Churned,0,8,Switched to Competitor,,No Score,0,Organic,Yes,Asia,2023-04,
CUST1052,2023-07-13,2023-12-02,Pro,Australia,HealthTech,79,316,PayPal,EUR,Yes,Churned,0,4,No Value,8,8,1,Paid,No,North America,2023-07,
CUST1053,2024-04-27,2024-06-28,Enterprise,United States,HealthTech,199,398,PayPal,EUR,Yes,Churned,0,2,No Value,,No Score,1,Organic,No,Africa,2024-04,
CUST1054,2023-10-16,,Basic,Germany,Fintech,29,232,PayPal,GBP,No,Active,1,8,Not Provided,,No Score,0,Partnership,No,Africa,2023-10,
CUST1055,2023-12-11,2024-01-29,Pro,Australia,E-commerce,79,79,Wire,EUR,Yes,Churned,0,1,Other,5,5,0,Organic,No,Europe,2023-12,
CUST1056,2023-08-25,2024-01-28,Pro,United Kingdom,Real Estate,79,395,PayPal,USD,Yes,Churned,0,5,No Value,10,10,0,Organic,No,North America,2023-08,
CUST1057,2023-11-13,,Pro,United Kingdom,Real Estate,79,553,PayPal,USD,No,Active,1,7,Not Provided,10,10,1,Organic,Yes,Africa,2023-11,
CUST1058,2023-10-22,,Basic,Nigeria,Marketing,29,232,PayPal,USD,No,Active,1,8,Not Provided,8,8,0,Referral,No,Europe,2023-10,
CUST1059,2023-06-19,2023-09-21,Enterprise,Germany,HealthTech,199,597,Wire,GBP,Yes,Churned,0,3,Bugs,1,1,0,Paid,No,North America,2023-06,
CUST1060,2023-06-01,,Basic,Canada,E-commerce,29,377,Card,EUR,No,Active,1,12,Not Provided,,No Score,0,Organic,No,Africa,2023-06,
CUST1061,2023-12-23,,Enterprise,Nigeria,E-commerce,199,1194,PayPal,GBP,No,Active,1,6,Not Provided,4,4,0,Organic,Yes,Europe,2023-12,
CUST1062,2023-04-28,2024-04-19,Enterprise,Nigeria,Fintech,199,2189,Card,EUR,Yes,Churned,0,11,Pricing,1,1,0,Paid,No,Other,2023-04,
CUST1063,2023-10-25,,Pro,United Kingdom,EdTech,79,632,PayPal,GBP,No,Active,1,8,Not Provided,7,7,1,Paid,No,Other,2023-10,
CUST1064,2024-02-28,,Pro,Nigeria,Fintech,79,316,PayPal,USD,No,Active,1,4,Not Provided,,No Score,1,Paid,Yes,Other,2024-02,
CUST1065,2023-03-05,2023-12-14,Enterprise,India,Real Estate,199,1791,PayPal,EUR,Yes,Churned,0,9,Not Provided,,No Score,0,Paid,No,Asia,2023-03,
CUST1066,2023-11-03,2023-12-05,Enterprise,United States,Fintech,199,199,Card,GBP,Yes,Churned,0,1,Not Provided,7,7,0,Paid,No,Europe,2023-11,
CUST1067,2023-07-05,,Basic,Australia,E-commerce,29,348,Card,EUR,No,Active,1,11,Not Provided,6,6,0,Organic,No,Europe,2023-07,
CUST1068,2023-07-07,,Basic,Australia,HealthTech,29,319,Card,GBP,No,Active,1,11,Not Provided,7,7,1,Referral,No,North America,2023-07,
CUST1069,2023-11-12,2024-02-27,Pro,United States,E-commerce,79,237,Card,EUR,Yes,Churned,0,3,No Value,0,0,0,Paid,No,Other,2023-11,
CUST1070,2023-08-04,,Basic,India,Real Estate,29,319,Wire,USD,No,Active,1,10,Not Provided,6,6,0,Organic,No,Other,2023-08,
CUST1071,2024-01-16,,Pro,United States,Real Estate,79,395,Wire,EUR,No,Active,1,5,Not Provided,,No Score,0,Paid,No,Africa,2024-01,
CUST1072,2024-01-05,2024-04-21,Basic,Canada,Marketing,29,87,Wire,EUR,Yes,Churned,0,3,No Value,10,10,0,Paid,Yes,Africa,2024-01,
CUST1073,2023-11-13,,Pro,United States,Marketing,79,553,Wire,EUR,No,Active,1,7,Not Provided,,No Score,0,Organic,No,Other,2023-11,
CUST1074,2023-07-18,,Pro,Nigeria,Marketing,79,869,Wire,EUR,No,Active,1,11,Not Provided,,No Score,1,Organic,Yes,Asia,2023-07,
CUST1075,2023-08-13,,Basic,Australia,Real Estate,29,290,PayPal,GBP,No,Active,1,10,Not Provided,4,4,1,Partnership,Yes,North America,2023-08,
CUST1076,2023-02-22,2023-12-01,Basic,Canada,HealthTech,29,261,Card,EUR,Yes,Churned,0,9,Switched to Competitor,0,0,0,Organic,Yes,North America,2023-02,
CUST1077,2024-03-11,2024-05-23,Enterprise,Australia,Real Estate,199,398,Wire,GBP,Yes,Churned,0,2,Other,,No Score,2,Organic,No,Europe,2024-03,
CUST1078,2024-02-29,,Basic,United States,Marketing,29,116,Card,EUR,No,Active,1,4,Not Provided,,No Score,0,Organic,Yes,Asia,2024-02,
CUST1079,2024-04-28,,Basic,India,EdTech,29,58,Card,GBP,No,Active,1,2,Not Provided,,No Score,3,Organic,Yes,Other,2024-04,
CUST1080,2024-01-22,2024-05-10,Basic,India,EdTech,29,87,Card,GBP,Yes,Churned,0,3,Bugs,,No Score,0,Organic,Yes,Europe,2024-01,
CUST1081,2023-02-13,2023-10-09,Pro,Nigeria,E-commerce,79,553,Wire,EUR,Yes,Churned,0,7,No Value,5,5,1,Organic,No,Africa,2023-02,
CUST1082,2023-03-08,,Enterprise,United States,Fintech,199,3184,Wire,GBP,No,Active,1,15,Not Provided,0,0,0,Partnership,No,Asia,2023-03,
CUST1083,2023-05-07,,Basic,United States,Marketing,29,406,PayPal,GBP,No,Active,1,13,Not Provided,6,6,0,Organic,Yes,Asia,2023-05,
CUST1084,2023-07-13,2024-02-29,Pro,United States,E-commerce,79,553,Wire,EUR,Yes,Churned,0,7,No Value,8,8,0,Organic,No,Europe,2023-07,
CUST1085,2023-01-18,,Pro,Germany,Marketing,79,1343,Card,GBP,No,Active,1,17,Not Provided,1,1,0,Referral,Yes,Asia,2023-01,
CUST1086,2023-12-13,,Basic,United Kingdom,Marketing,29,174,PayPal,USD,No,Active,1,6,Not Provided,6,6,1,Referral,No,Asia,2023-12,
CUST1087,2023-09-04,,Pro,Germany,Real Estate,79,790,Wire,EUR,No,Active,1,9,Not Provided,6,6,1,Organic,No,North America,2023-09,
CUST1088,2023-08-26,,Enterprise,Canada,E-commerce,199,1990,Card,EUR,No,Active,1,10,Not Provided,,No Score,0,Organic,Yes,Europe,2023-08,
CUST1089,2023-07-10,,Pro,Canada,E-commerce,79,869,Wire,USD,No,Active,1,11,Not Provided,2,2,1,Referral,No,Africa,2023-07,
CUST1090,2024-01-24,2024-04-23,Basic,United States,HealthTech,29,87,PayPal,USD,Yes,Churned,0,2,Pricing,2,2,0,Organic,No,Other,2024-01,
CUST1091,2023-07-28,,Pro,Nigeria,Marketing,79,869,Card,USD,No,Active,1,11,Not Provided,,No Score,3,Paid,No,Asia,2023-07,
CUST1092,2024-03-19,,Enterprise,United Kingdom,E-commerce,199,597,Card,EUR,No,Active,1,3,Not Provided,4,4,1,Organic,No,Other,2024-03,
CUST1093,2024-04-07,,Basic,United Kingdom,EdTech,29,58,PayPal,GBP,No,Active,1,2,Not Provided,,No Score,0,Organic,No,Africa,2024-04,
CUST1094,2023-02-19,2023-11-18,Basic,United Kingdom,Fintech,29,261,Card,EUR,Yes,Churned,0,8,Bugs,10,10,1,Partnership,Yes,Other,2023-02,
CUST1095,2023-02-23,2023-12-17,Basic,Canada,HealthTech,29,261,PayPal,EUR,Yes,Churned,0,9,Bugs,,No Score,0,Partnership,No,Europe,2023-02,
CUST1096,2023-09-09,,Pro,Australia,HealthTech,79,711,Card,EUR,No,Active,1,9,Not Provided,,No Score,0,Paid,No,Asia,2023-09,
CUST1097,2023-04-05,,Pro,United Kingdom,HealthTech,79,1185,Card,EUR,No,Active,1,14,Not Provided,6,6,1,Organic,No,North America,2023-04,
CUST1098,2023-10-30,,Basic,United Kingdom,Marketing,29,232,PayPal,USD,No,Active,1,8,Not Provided,,No Score,2,Paid,No,Asia,2023-10,
CUST1099,2023-03-26,,Basic,United States,E-commerce,29,435,Wire,USD,No,Active,1,15,Not Provided,0,0,0,Organic,Yes,North America,2023-03,
CUST1100,2023-06-26,2024-01-19,Basic,United States,Fintech,29,174,Card,EUR,Yes,Churned,0,6,Bugs,0,0,1,Paid,No,Asia,2023-06,
CUST1101,2023-11-14,2024-02-10,Basic,United States,Fintech,29,58,Wire,GBP,Yes,Churned,0,2,Pricing,6,6,0,Organic,No,Other,2023-11,
CUST1102,2023-06-23,2024-01-28,Basic,Australia,Real Estate,29,203,PayPal,USD,Yes,Churned,0,7,Bugs,,No Score,2,Organic,No,Europe,2023-06,
CUST1103,2023-10-03,2023-12-24,Basic,India,Marketing,29,58,Card,EUR,Yes,Churned,0,2,Not Provided,0,0,1,Organic,No,North America,2023-10,
CUST1104,2023-02-05,2023-05-04,Enterprise,Australia,Marketing,199,398,PayPal,GBP,Yes,Churned,0,2,Pricing,,No Score,1,Referral,No,Europe,2023-02,
CUST1105,2023-04-02,,Basic,Germany,Real Estate,29,435,Wire,USD,No,Active,1,14,Not Provided,2,2,0,Organic,No,Africa,2023-04,
CUST1106,2024-03-04,2024-06-28,Basic,United States,Marketing,29,87,PayPal,GBP,Yes,Churned,0,3,Other,,No Score,0,Paid,No,Europe,2024-03,
CUST1107,2023-08-02,2024-06-05,Basic,Australia,E-commerce,29,290,Card,EUR,Yes,Churned,0,10,Pricing,2,2,2,Paid,No,North America,2023-08,
CUST1108,2023-01-26,,Basic,Germany,Fintech,29,493,Card,USD,No,Active,1,17,Not Provided,,No Score,0,Organic,Yes,Africa,2023-01,
CUST1109,2023-05-22,,Basic,United Kingdom,Marketing,29,377,Wire,USD,No,Active,1,13,Not Provided,8,8,2,Referral,No,Europe,2023-05,
CUST1110,2023-04-10,,Basic,Germany,E-commerce,29,406,Wire,EUR,No,Active,1,14,Not Provided,,No Score,0,Paid,No,Europe,2023-04,
CUST1111,2023-03-14,,Basic,United States,E-commerce,29,435,Card,GBP,No,Active,1,15,Not Provided,,No Score,1,Organic,No,Other,2023-03,
CUST1112,2023-04-15,2024-02-12,Basic,United States,Real Estate,29,290,PayPal,GBP,Yes,Churned,0,9,Switched to Competitor,8,8,3,Organic,No,North America,2023-04,
CUST1113,2023-12-28,,Basic,United States,Real Estate,29,174,Wire,EUR,No,Active,1,6,Not Provided,0,0,0,Organic,No,Asia,2023-12,
CUST1114,2023-01-10,,Pro,United States,E-commerce,79,1343,PayPal,USD,No,Active,1,17,Not Provided,1,1,0,Organic,No,Asia,2023-01,
CUST1115,2024-05-07,,Pro,United States,Fintech,79,79,PayPal,GBP,No,Active,1,1,Not Provided,,No Score,1,Paid,No,Other,2024-05,
CUST1116,2023-10-16,2023-12-19,Basic,United States,HealthTech,29,58,PayPal,GBP,Yes,Churned,0,2,Switched to Competitor,3,3,0,Paid,No,Asia,2023-10,
CUST1117,2023-01-26,2023-12-27,Basic,Australia,Real Estate,29,319,PayPal,USD,Yes,Churned,0,11,Bugs,,No Score,2,Organic,No,Europe,2023-01,
CUST1118,2023-02-03,,Basic,Germany,Real Estate,29,493,Card,USD,No,Active,1,16,Not Provided,1,1,0,Paid,No,Europe,2023-02,
CUST1119,2023-05-20,,Pro,United States,Fintech,79,1027,PayPal,GBP,No,Active,1,13,Not Provided,3,3,0,Organic,Yes,Europe,2023-05,
CUST1120,2024-04-30,,Pro,Germany,HealthTech,79,158,Card,EUR,No,Active,1,2,Not Provided,6,6,2,Referral,No,North America,2024-04,
CUST1121,2023-07-27,2024-03-01,Basic,United Kingdom,Real Estate,29,203,Wire,EUR,Yes,Churned,0,7,Other,,No Score,0,Organic,No,Europe,2023-07,
CUST1122,2023-04-13,,Basic,United States,Real Estate,29,406,Card,EUR,No,Active,1,14,Not Provided,,No Score,1,Organic,No,Asia,2023-04,
CUST1123,2023-07-17,2023-08-18,Basic,United States,HealthTech,29,29,Card,USD,Yes,Churned,0,1,Bugs,,No Score,1,Paid,Yes,North America,2023-07,
CUST1124,2024-03-11,,Pro,Canada,Real Estate,79,237,Wire,USD,No,Active,1,3,Not Provided,,No Score,0,Organic,No,Europe,2024-03,
CUST1125,2023-11-07,,Pro,United Kingdom,Marketing,79,553,PayPal,USD,No,Active,1,7,Not Provided,8,8,1,Paid,No,Europe,2023-11,
CUST1126,2024-01-08,,Enterprise,United States,HealthTech,199,995,Wire,GBP,No,Active,1,5,Not Provided,0,0,2,Paid,Yes,Africa,2024-01,
CUST1127,2023-07-03,,Pro,United States,EdTech,79,948,Card,USD,No,Active,1,11,Not Provided,,No Score,0,Paid,No,North America,2023-07,
CUST1128,2023-07-20,,Pro,Australia,Marketing,79,869,Wire,USD,No,Active,1,11,Not Provided,4,4,2,Organic,No,North America,2023-07,
CUST1129,2024-05-06,2024-06-13,Pro,Canada,Real Estate,79,79,PayPal,GBP,Yes,Churned,0,1,Bugs,,No Score,5,Referral,No,Europe,2024-05,
CUST1130,2023-03-21,2023-09-23,Pro,Nigeria,Real Estate,79,474,PayPal,USD,Yes,Churned,0,6,Bugs,10,10,0,Referral,No,Africa,2023-03,
CUST1131,2023-04-10,2023-12-20,Pro,India,E-commerce,79,632,Card,GBP,Yes,Churned,0,8,Not Provided,5,5,2,Referral,No,North America,2023-04,
CUST1132,2023-11-30,,Basic,Nigeria,E-commerce,29,203,Card,GBP,No,Active,1,7,Not Provided,,No Score,0,Paid,Yes,North America,2023-11,
CUST1133,2024-05-29,2024-06-30,Pro,Germany,Marketing,79,79,PayPal,USD,Yes,Churned,0,1,Bugs,,No Score,0,Organic,No,Africa,2024-05,
CUST1134,2024-05-29,,Pro,United Kingdom,Fintech,79,79,Card,USD,No,Active,1,1,Not Provided,4,4,0,Organic,No,Europe,2024-05,
CUST1135,2023-01-08,,Pro,India,Real Estate,79,1343,Card,GBP,No,Active,1,17,Not Provided,3,3,2,Paid,No,Asia,2023-01,
CUST1136,2023-06-02,2024-02-29,Pro,India,E-commerce,79,711,PayPal,EUR,Yes,Churned,0,8,Switched to Competitor,,No Score,1,Referral,No,Other,2023-06,
CUST1137,2023-06-17,,Basic,United States,EdTech,29,348,Wire,USD,No,Active,1,12,Not Provided,5,5,1,Partnership,No,Asia,2023-06,
CUST1138,2024-05-17,,Enterprise,United Kingdom,Marketing,199,199,Card,EUR,No,Active,1,1,Not Provided,,No Score,0,Paid,No,Other,2024-05,
CUST1139,2023-06-25,,Basic,United States,E-commerce,29,348,Wire,USD,No,Active,1,12,Not Provided,7,7,1,Organic,No,Africa,2023-06,
CUST1140,2023-08-05,2024-02-06,Pro,United States,Fintech,79,474,Wire,EUR,Yes,Churned,0,6,Pricing,,No Score,1,Organic,No,North America,2023-08,
CUST1141,2023-05-23,2024-03-15,Pro,Nigeria,Marketing,79,711,Wire,GBP,Yes,Churned,0,9,Not Provided,,No Score,0,Referral,Yes,North America,2023-05,
CUST1142,2024-01-12,2024-04-15,Pro,Canada,EdTech,79,237,Card,GBP,Yes,Churned,0,3,Switched to Competitor,1,1,0,Organic,No,Africa,2024-01,
CUST1143,2024-04-15,,Basic,Nigeria,Fintech,29,58,Wire,USD,No,Active,1,2,Not Provided,,No Score,1,Paid,Yes,North America,2024-04,
CUST1144,2024-05-03,,Basic,United States,Marketing,29,29,Card,USD,No,Active,1,1,Not Provided,,No Score,0,Referral,Yes,Asia,2024-05,
CUST1145,2023-07-19,,Pro,India,HealthTech,79,869,Card,USD,No,Active,1,11,Not Provided,0,0,1,Referral,No,North America,2023-07,
CUST1146,2023-03-12,,Enterprise,Australia,E-commerce,199,2985,Card,GBP,No,Active,1,15,Not Provided,,No Score,2,Organic,No,North America,2023-03,
CUST1147,2024-03-08,,Basic,United States,HealthTech,29,87,Card,GBP,No,Active,1,3,Not Provided,5,5,1,Partnership,No,Africa,2024-03,
CUST1148,2023-03-10,,Basic,United States,EdTech,29,435,Wire,EUR,No,Active,1,15,Not Provided,7,7,0,Paid,No,Other,2023-03,
CUST1149,2023-12-21,,Pro,India,E-commerce,79,474,PayPal,USD,No,Active,1,6,Not Provided,,No Score,1,Paid,No,Asia,2023-12,
CUST1150,2024-01-06,,Basic,Nigeria,Fintech,29,145,Wire,GBP,No,Active,1,5,Not Provided,1,1,0,Organic,No,Other,2024-01,
CUST1151,2023-08-23,,Pro,Nigeria,HealthTech,79,790,Card,GBP,No,Active,1,10,Not Provided,,No Score,0,Partnership,No,Europe,2023-08,
CUST1152,2023-09-22,,Pro,United Kingdom,Fintech,79,711,PayPal,USD,No,Active,1,9,Not Provided,9,9,1,Paid,No,Asia,2023-09,
CUST1153,2023-04-28,,Enterprise,India,E-commerce,199,2786,Wire,GBP,No,Active,1,14,Not Provided,,No Score,2,Paid,No,North America,2023-04,
CUST1154,2024-02-27,2024-05-11,Basic,United States,E-commerce,29,58,Wire,GBP,Yes,Churned,0,2,Pricing,,No Score,1,Paid,No,Europe,2024-02,
CUST1155,2023-03-21,2024-05-14,Basic,Canada,HealthTech,29,406,Wire,EUR,Yes,Churned,0,13,Pricing,,No Score,0,Referral,No,Africa,2023-03,
CUST1156,2024-02-26,,Basic,Nigeria,Marketing,29,116,PayPal,GBP,No,Active,1,4,Not Provided,,No Score,1,Referral,No,Africa,2024-02,
CUST1157,2024-04-17,2024-06-19,Pro,United States,HealthTech,79,158,Wire,EUR,Yes,Churned,0,2,Switched to Competitor,7,7,3,Organic,No,Asia,2024-04,
CUST1158,2024-04-27,,Basic,United Kingdom,E-commerce,29,58,PayPal,USD,No,Active,1,2,Not Provided,,No Score,0,Referral,No,Other,2024-04,
CUST1159,2024-02-18,2024-04-18,Enterprise,Canada,E-commerce,199,398,Card,USD,Yes,Churned,0,2,Switched to Competitor,,No Score,1,Paid,No,Africa,2024-02,
CUST1160,2023-04-04,,Pro,United Kingdom,Marketing,79,1185,Wire,GBP,No,Active,1,14,Not Provided,,No Score,0,Paid,No,Europe,2023-04,
CUST1161,2023-08-22,2023-10-18,Pro,Nigeria,Marketing,79,79,Wire,GBP,Yes,Churned,0,1,No Value,,No Score,2,Paid,No,Asia,2023-08,
CUST1162,2023-06-04,,Pro,Canada,Marketing,79,1027,Card,GBP,No,Active,1,12,Not Provided,5,5,1,Referral,No,Europe,2023-06,
CUST1163,2023-01-14,2023-09-16,Enterprise,Australia,EdTech,199,1592,Wire,USD,Yes,Churned,0,8,Switched to Competitor,2,2,1,Organic,No,Asia,2023-01,
CUST1164,2023-05-24,2023-09-08,Basic,United Kingdom,Real Estate,29,87,Wire,GBP,Yes,Churned,0,3,Switched to Competitor,1,1,0,Organic,No,Other,2023-05,
CUST1165,2023-07-02,,Enterprise,United States,HealthTech,199,2388,PayPal,USD,No,Active,1,11,Not Provided,,No Score,0,Organic,No,Africa,2023-07,
CUST1166,2023-10-11,,Basic,United Kingdom,HealthTech,29,232,Card,GBP,No,Active,1,8,Not Provided,,No Score,0,Paid,No,Africa,2023-10,
CUST1167,2023-11-01,2024-06-24,Basic,United States,Fintech,29,203,Card,GBP,Yes,Churned,0,7,Other,2,2,3,Referral,No,North America,2023-11,
CUST1168,2023-06-30,,Basic,Nigeria,Real Estate,29,348,Card,USD,No,Active,1,12,Not Provided,6,6,0,Paid,No,Europe,2023-06,
CUST1169,2024-04-21,2024-06-19,Basic,Nigeria,Marketing,29,29,Wire,USD,Yes,Churned,0,1,No Value,10,10,1,Paid,No,Other,2024-04,
CUST1170,2023-12-22,2024-04-26,Basic,Australia,HealthTech,29,116,Card,GBP,Yes,Churned,0,4,Switched to Competitor,,No Score,0,Paid,No,Asia,2023-12,
CUST1171,2023-04-07,,Enterprise,United States,EdTech,199,2985,Wire,EUR,No,Active,1,14,Not Provided,10,10,0,Referral,No,Asia,2023-04,
CUST1172,2023-11-28,,Basic,United States,Marketing,29,203,PayPal,GBP,No,Active,1,7,Not Provided,,No Score,1,Paid,Yes,Europe,2023-11,
CUST1173,2023-03-14,,Basic,United States,Marketing,29,435,PayPal,GBP,No,Active,1,15,Not Provided,,No Score,1,Organic,No,Asia,2023-03,
CUST1174,2023-06-06,2024-03-17,Pro,India,Fintech,79,711,Card,USD,Yes,Churned,0,9,No Value,8,8,1,Paid,Yes,Africa,2023-06,
CUST1175,2023-03-13,,Basic,Australia,E-commerce,29,435,PayPal,EUR,No,Active,1,15,Not Provided,,No Score,0,Organic,No,Europe,2023-03,
CUST1176,2023-02-23,,Basic,Canada,HealthTech,29,464,Wire,GBP,No,Active,1,16,Not Provided,,No Score,0,Organic,No,Asia,2023-02,
CUST1177,2023-08-04,2023-12-30,Pro,Nigeria,Marketing,79,316,Card,USD,Yes,Churned,0,4,Not Provided,,No Score,0,Partnership,No,Asia,2023-08,
CUST1178,2023-02-12,,Basic,Australia,EdTech,29,464,Wire,GBP,No,Active,1,16,Not Provided,4,4,0,Paid,Yes,Asia,2023-02,
CUST1179,2023-10-18,,Pro,Australia,Real Estate,79,632,PayPal,USD,No,Active,1,8,Not Provided,,No Score,1,Referral,No,Europe,2023-10,
CUST1180,2023-08-03,,Basic,Nigeria,E-commerce,29,319,Wire,GBP,No,Active,1,10,Not Provided,6,6,0,Referral,No,Other,2023-08,
CUST1181,2024-02-07,,Enterprise,United Kingdom,EdTech,199,796,Card,USD,No,Active,1,4,Not Provided,4,4,0,Paid,No,Africa,2024-02,
CUST1182,2023-01-28,,Pro,United States,EdTech,79,1343,Wire,USD,No,Active,1,17,Not Provided,,No Score,0,Paid,Yes,Asia,2023-01,
